ID,What makes you feel overwhelmed?,Talk to friend,Talk to parent,Talk to teacher,Talk to counselor,Talk to other,What are ways you deal with stress?,Comfortable helping friend?,Choose between grade/kind,What is one thing to make you more proud?,,,,,,,,,,Talk to no one,18.13%,5.93%,12.19%,24.06%
71,the amount of people in Carmel High School. Way too many things happening at the same time,0,1,0,0,,i sleep for 5 hours when I get home from school no I'm not lying,1,Kind,"Down size. Too many people, honestly",,,,,,,,,,,,,,
72,,1,0,0,0,,,1,Grade,,,,,,,,,,,,,,,
73,Carmel High School,0,0,0,0,no one,by laying down and listening to music,1,Grade,Better communication from the teachers,,,,,,,,,,,,,,
74,"several projects/essays at the same time, while balancing a work, athletic, and social life",1,0,0,0,,I thoroughly enjoy tree,1,Grade,Improvement in the math department,,,,,,,,,,,,,,
75,"when teachers give tons of homework, tests, projects all in the same week, when for weeks we didn't have any tests, projects, or homework",1,1,0,0,,"exercise, study with friends, make lists of what needs to get done so you feel organized ",1,Kind,I could try to spread more positivity and kindness so that carmel greyhounds are associated with that posititivity instead of just academic or athletic success,,,,,,,,,,,,,,
76,working late then having homework,0,0,0,0,nobody,"sleeping, working out, rationalizing issues",1,Kind,a better math department,,,,,,,,,,,,,,
77,nothing,0,0,0,0,,relaxing,1,Grade,,,,,,,,,,,,,,,
78,these last few weeks of school and passing my classes,1,0,0,0,,"play video games, trees",1,Kind,not be in school anymore,,,,,,,,,,,,,,
79,school,1,1,0,0,siblings,"talk to friends, hobbies",1,Grade,less competition,,,,,,,,,,,,,,
80,school,0,1,0,0,,sleep,1,Grade,less competition,,,,,,,,,,,,,,
81,grades and not getting wins in fortnite,0,0,0,0,nobody,play fortnite or play football,0,Grade,not be white,,,,,,,,,,,,,,
82,when I have multiple tests/quizzes/presentations on the same day,1,1,0,0,,I eat ice cream or cry if I'm really stressed. I also talk to my parents/friends and they help me with time managing my work,0,Kind,bringing john williams back,,,,,,,,,,,,,,
83,when there are too many cooks in the kitchen (applies to all scenarios),1,0,0,0,,laying in my bed and petting my cat and just relaxing,1,,"not much, bring john williams back",,,,,,,,,,,,,,
84,constant work and pressure from outside sources,1,0,0,0,,"drawing, swimming, running",1,Grade,less bullying,,,,,,,,,,,,,,
85,school,0,1,0,0,,taking time to myself and doing some self-care,1,Kind,Nicer people and not being stressed out about school,,,,,,,,,,,,,,
86,school lol,1,1,0,1,,not going to school,1,Kind,change schools oops,,,,,,,,,,,,,,
87,"homework, tests, knowing I have to come to school",1,0,0,0,,"break things, yell, do nothing, watch netflix, talk to friends",1,Grade,test retakes and no late grade deductions,,,,,,,,,,,,,,
88,everything,1,1,1,1,,anything,1,,move to alabama,,,,,,,,,,,,,,
89,a lot of assignments,0,1,0,0,,try to keep a calm mind state and get through it,1,Grade,,,,,,,,,,,,,,,
90,when my teachers give me loads of homework,1,1,0,0,,"cry, talk to people, plan out how to get something done",1,Grade,less homework,,,,,,,,,,,,,,
91,high weighted test,1,0,0,0,,find and do things I enjoy,1,Grade,time mangement and study habits so that I can improve my grades,,,,,,,,,,,,,,
92,"homework, plans",1,1,0,0,,listen to music or sleep,1,Kind,,,,,,,,,,,,,,,
93,waking up at 6 and having a lot of homework,1,1,0,0,,"sleep, eat, being with friends, don't do homework",1,Grade,no idea,,,,,,,,,,,,,,
94,"a lot of things, chemistry, english",1,1,1,0,,"listen to music, read comics, sudoku, word searches, watch spongebob squarepants",1,Kind,"help make the school an even safer place, stop bias and get people to not stray away from ""stigmatized"" subjects, like sexuality. also get rid of the ""young republicans club"". in short, make the school even more liberal",,,,,,,,,,,,,,
95,having lots of things to do at once but not knowing what needs to be done first,1,0,0,0,,"not good, I procrastinate and go to my job to try to forget the stress, even when I know it will make it worse",1,Kind,have more students out to help others rather than just trying to be the best,,,,,,,,,,,,,,
96,depression,0,0,0,0,I don't,"internalizing, self-talk",1,Kind,My lack of self-identification with my school is largely due to my own failings for the past 18 years. I would seek out help but past attempts have left me with no plan to value myself in any way.,,,,,,,,,,,,,,
97,"excessive homework, large exams and projects, large social events",1,0,0,0,,"long crying episodes, sleeping",1,Grade,less pressure on grades and decreased competitivness,,,,,,,,,,,,,,
98,"school, homework",0,1,0,0,,"cry, take a shower, fall asleep, eat",0,Grade,less pressure at school,,,,,,,,,,,,,,
99,too much homework around AP finals weeks,1,0,0,0,,"read, procrastinate, eat",1,Kind,more flexible submission dates during finals week,,,,,,,,,,,,,,
100,everything,0,0,0,0,homies,"play video games, listen to music, chill with homies",1,Kind,if we got john williams back and fired mr. steele,,,,,,,,,,,,,,
101,having too much stuff to prepare for/too many tasks to do,0,1,0,0,,by throwing myself in the work,1,Grade,winning more stuff,,,,,,,,,,,,,,
102,having a lot of things to do,0,0,0,0,no one,get my stuff done and watch netflix,1,Grade,have more tme to be involved in school activities,,,,,,,,,,,,,,
103,"non-stop never-ending work, the competition at carmel",1,1,0,0,,"sleep, exercise, hangout with friends",1,Grade,"the competition at carmel has some positive aspects, but it is non-stop. more emphasis on teamwork would be nice",,,,,,,,,,,,,,
104,"personal issues, grades, college, money",0,0,0,0,,sleep,1,Grade,a good student taking AP classes,,,,,,,,,,,,,,
105,"grades, preparing for college, balancing work and school",0,1,0,0,,"listen to music, sleep",1,Grade,having better grades,,,,,,,,,,,,,,
106,failure,0,0,0,0,nobody,ignore it,0,Grade,bigger curves,,,,,,,,,,,,,,
107,"school, the future because it's a weak, depressing future of school, more school, and then work for decades",0,0,0,0,no one,I have a mental breakdown after penting it up for a long time,0,Grade,"better grades, less stress, less tests if you do well all year",,,,,,,,,,,,,,
108,"being behind on homework and sleep, family issues at home",1,1,1,1,therapist,"time mangement, independent studying",1,Grade,maybe participating in more school activities,,,,,,,,,,,,,,
109,"calc bc tests and quizzes, thinking about the future",1,0,0,0,,"get out of the situtation, take a step back and breathe",1,Grade,more days with therapy dogs,,,,,,,,,,,,,,
110,"too much work at once essays/tests/etc. all at one time, complicated family life with school, college prep",1,0,0,0,,ignoring my problems and being sad,1,Kind,Coordination with big projects so they aren't all at once,,,,,,,,,,,,,,
111,national exams and finals all at the same time,1,1,1,0,,sleep,1,Grade,Helping others with their tests,,,,,,,,,,,,,,
112,"school, social aspects, college",1,1,0,0,,"watch tv, listen to music",1,Grade,more suicide/mental illness awareness at CHS,,,,,,,,,,,,,,
113,school,1,1,0,0,,take a break,1,Kind,,,,,,,,,,,,,,,
114,when all my activities and classes all get busy at the same time,1,0,0,0,,chilling with my pals,1,Grade,More of the student body coming out to support teams or music groups or clubs,,,,,,,,,,,,,,
115,"school, social navigation, confrontation",1,1,1,1,sister,"sleeping, ignoring my problems, complaining",1,Grade,A club not being allowed to meet more than 3 hours a weekday,,,,,,,,,,,,,,
116,school,1,0,0,0,,cry,1,Grade,a roof,,,,,,,,,,,,,,
117,school,1,0,0,0,,passive agressively talk to authority,,Grade,join park tudor,,,,,,,,,,,,,,
118,having so much school work at once and having to deal with social navigation at the same time,1,1,0,0,,I let out all of my stress and try to think logically,1,Grade,have understanding teachers,,,,,,,,,,,,,,
119,"a lot, this survey, doing sports, homework, tests and things",0,1,0,0,,i write things down and organize,1,Grade,more dogs,,,,,,,,,,,,,,
120,"school, homework, tests, work, waking up early",1,1,0,0,sibling,"I talk to people about my feelings, sometimes I cry. Sleeping helps",1,"How do you choose, kindness should be more important but grades expected","better school hours like noblesville, more mental health awareness",,,,,,,,,,,,,,
121,all the areas in my life like all my different obligations creating scheduling conflicts and getting double/triple booked,1,1,0,0,,getting everything figured out and step back and look at the bigger picture,1,Grade,have more spirit weeks,,,,,,,,,,,,,,
122,"literally everything, school mostly and trying to get good grades and finish homework while balancing work",1,0,0,0,,i cry and eat and sleep,1,Grade,less homework,,,,,,,,,,,,,,
123,tons of homework and multiple tests on the same day,1,1,0,0,,"video games, sleeping",1,Kind,more spirit days,,,,,,,,,,,,,,
124,literally everything,1,0,0,0,no one,"music, meditation, yoga, cry",1,Grade,better grades,,,,,,,,,,,,,,
125,"many tests, not doing well in lacrosse, sat or act",1,1,0,0,,make a list,1,Grade,teachers making sure you understand the material,,,,,,,,,,,,,,
126,my lowering graddes and the fact that everyone else seems to be doing so much better,0,0,0,0,no one/myself,"cry, stress out, cry some more, eat",Maybe,Grade,have teachers care less about making tests difficult and more about my understanding of the subject,,,,,,,,,,,,,,
127,having lots of work during the last month of school,1,0,0,0,,"talk to friends, sleep, play games, go on walks",1,Kind,,,,,,,,,,,,,,,
128,"whenever sports, grades, homework, and home stituations pile up at the same time",1,0,0,0,,"singing, listening to music, dancing, taking a bath, writing, and other creative outlets",1,Grade,"raise awareness for mental health in a serious, non-sterotypical, non-romanticitized way so people actually learn",,,,,,,,,,,,,,
129,"teachers say they understand, but then they assign 3 hours of homework per night when we have 6 other clasess, a job, and a social life. I don't know how, but I think somehow we as a school need to be more aware of this",1,1,0,0,,I sacrifice my social life and sleep schedule so I can work the 15 hours/week my job expects from me and do the hours of homework,1,Grade,getting more sleep,,,,,,,,,,,,,,
130,"school, finals, tests, projects, public speaking",0,0,0,0,no one,"pushing it down, ignore it",0,Grade,getting better grades,,,,,,,,,,,,,,
131,"finals, homework, the future",0,0,0,0,nobody,"ignore it down, push it down far",1,Grade,better grades give me,,,,,,,,,,,,,,
132,having a lot of activities going on at the same time and family or friend issues,1,1,0,0,youth group leader,"talking to people, meditating",1,Kind,CHS can be more welcoming,,,,,,,,,,,,,,
133,school or new things that come up that aren't a part of my mental schedule,1,1,0,0,,"music, work, relaxation, doing the thing I'm stressed out about, taking a shower",1,Kind,"my level of involvement at the school, my motiviation level",,,,,,,,,,,,,,
134,"school, sports, exams",1,0,0,0,,"eat food, listen to music",1,Kind,more pre-final or pre-exam stress relievers,,,,,,,,,,,,,,
135,lots of plans at one time,1,1,0,0,,sleeping,1,Grade,Being more involved,,,,,,,,,,,,,,
136,when teachers don't check up individually when a student's grades begin to drop,1,1,0,0,,sit out by my pool or sleep,1,Grade,If the start time was later potentially making me ready to start the day,,,,,,,,,,,,,,
137,"having a lot to deal with, school and otherwise, combined with a lack of sleep",1,0,0,0,,"i take some time to do something i enjoy, I go to sleep, I take a shower, I talk to someone about something relaxing",1,Kind,for the school to put more effort into the mental well being of its students,,,,,,,,,,,,,,
138,"having a lot of imporant things (assignments, tests, etc) happening at once and feeling like I have too much to do",1,0,0,0,,"listen to music, sleep, go biking",1,Grade,have people be more inclusive and kind to others,,,,,,,,,,,,,,
139,grades and failing,0,1,0,0,,procrastinate and cry or pet my dogs,1,Grade,if people were nicer in the hallways and if there were more opportunities to see what you can get involved in,,,,,,,,,,,,,,
140,school and my mom,1,0,0,0,,playing videogames and watching netflix,1,Kind,get better grades,,,,,,,,,,,,,,
141,the fact that teachers all give 2 plus hours of homework and act like it's the only homework you have,0,0,0,0,no one I just cry,cry and it's all better,1,Grade,take advantage of senior schedule,,,,,,,,,,,,,,
142,"school work, tests, and the thought that I won't have time to get it all done",1,0,0,0,,cry,1,Grade,get better grades,,,,,,,,,,,,,,
143,school,0,0,0,0,nobody,"listen to music, eat",1,Grade,Join more clubs,,,,,,,,,,,,,,
144,large amounts of homework and having little time and being tired because I have to stay up every night to complete my homework,0,0,0,0,myself,I have a lot of caffeine and listen to music,1,Grade,I could have all of my work lead to something worthwhile,,,,,,,,,,,,,,
145,Stress from the pressure to do well on exams,1,1,0,0,,I sleep or I just take a break for a couple of minutes,1,Kind,I would want there to be more time to destress throughout the day and just relax,,,,,,,,,,,,,,
146,school and exams and decisions for the future,1,0,0,0,,watch youtube videos,1,Grade,Study and be kinder to others,,,,,,,,,,,,,,
147,feeling like I have too much work and not enough time because of my job and extra curriculars. feeling like not thinking about future enough,1,1,0,0,,i have mental breakdowns and then crack down and get my work done. try to allot time to do fun things,1,Grade,Try to put more importance on being involved in extra curriculars,,,,,,,,,,,,,,
148,"schoolwork, ap tests, thinking about college",1,1,0,0,,"working hard, music, taking breaks",1,Grade,more school participation/pride,,,,,,,,,,,,,,
149,having several events/projects/assignments due/occur all around the same time,1,1,0,0,,"listen to music, talk about how to address all of the events coming up",1,Kind,Try to be as friendly to everyone as possible,,,,,,,,,,,,,,
150,"school, business",1,0,0,0,,"running, music, basketball",1,Kind,being nice to everyone,,,,,,,,,,,,,,
151,lots of people in one room,0,0,0,0,nobody,stress ball,1,Kind,,,,,,,,,,,,,,,
152,"lots of projects, deadlines, many tests, final and exams, too many responsibilities",1,1,0,0,,"have a ""me"" day, go to the gym, play with my dogs",1,Kind,"Create a more open environment for students to communicate with each other on things other than school, I think students may be more approchable when it comes to talking through student problems",,,,,,,,,,,,,,
153,"school, work, people, life",1,1,1,1,,"music, sleep, reading, talking",1,Kind,none,,,,,,,,,,,,,,
154,multitasking,1,0,0,0,,don't multitask and focus on one thing at a time,1,Grade,None,,,,,,,,,,,,,,
155,"Having homework that you know you don't have time or energy to do, and you just let the stress consume your thoughts",1,0,0,0,,Music,1,,"More fun, less stress while retaining our academic success",,,,,,,,,,,,,,
156,too much happening all at once,1,0,0,0,,Music,1,Kind,I was never proud in the first place,,,,,,,,,,,,,,
157,"too much work, not enough time",0,0,0,0,nobody,"Relaxing, doing said work, finishing said work, etc",1,Kind,,,,,,,,,,,,,,,
158,"school competitiveness/expectations, crowded hallways and cafeterias, work load/amount of homework",1,0,0,1,,"cry, play piano",1,Grade,The administration caring about people outside of the star athletes/top 3%,,,,,,,,,,,,,,
159,meeting new people,1,0,0,0,,video games and sleep,1,Kind,"nothing, I like who I am",,,,,,,,,,,,,,
160,"school, stress, grades",1,0,0,0,,venting,1,Grade,"showing up at school events, like football games and Mr. Carmel",,,,,,,,,,,,,,
161,looking back on regret,1,0,0,0,,,1,Grade,no random stresses,,,,,,,,,,,,,,
,,0,1,0,0,,by talking to my parents and sorting it out,1,Grade,fire dr. harmas,,,,,,,,,,,,,,
